antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,1.0,0.013007162303258473,1.2182700770396908,0.4024132212500716,0.11991051454138703,0.1791639482519931,0.26235665900095434
frozenset({'mineral water'}),frozenset({'frozen vegetables'}),0.23836821757099053,0.09532062391681109,0.03572856952406346,0.1498881431767338,1.57246288387228,1.0,0.013007162303258473,1.0641886344978566,0.4779933694036383,0.11991051454138703,0.060316970522941375,0.26235665900095434
frozenset({'spaghetti'}),frozenset({'milk'}),0.17411011865084655,0.12958272230369283,0.03546193840821224,0.20367534456355285,1.57177855922964,1.0,0.012900275252816583,1.0930432352609396,0.4404679980823732,0.13220675944333996,0.08512310607615409,0.23866894800194105
frozenset({'milk'}),frozenset({'spaghetti'}),0.12958272230369283,0.17411011865084655,0.03546193840821224,0.27366255144032925,1.5717785592296398,1.0,0.012900275252816583,1.1370608564750384,0.41793525013329785,0.13220675944333996,0.12053959618303628,0.23866894800194105
frozenset({'milk'}),frozenset({'mineral water'}),0.12958272230369283,0.23836821757099053,0.04799360085321957,0.3703703703703704,1.5537741320739085,1.0,0.01710519830969167,1.209650477975486,0.4094654617858785,0.15,0.17331492178332722,0.2858563261247825
frozenset({'mineral water'}),frozenset({'milk'}),0.23836821757099053,0.12958272230369283,0.04799360085321957,0.20134228187919462,1.5537741320739085,1.0,0.01710519830969167,1.0898502048466365,0.4679502888149834,0.15,0.08244271042668692,0.2858563261247825
frozenset({'pancakes'}),frozenset({'spaghetti'}),0.09505399280095987,0.17411011865084655,0.025196640447940274,0.2650771388499299,1.522468314328732,1.0,0.008646778483128437,1.1237776438968443,0.3792180723530164,0.10327868852459017,0.11014424834759066,0.20489691551991135
frozenset({'spaghetti'}),frozenset({'pancakes'}),0.17411011865084655,0.09505399280095987,0.025196640447940274,0.1447166921898928,1.522468314328732,1.0,0.008646778483128437,1.0580657881843747,0.4155177199567837,0.10327868852459017,0.05487918504955597,0.20489691551991135
frozenset({'milk'}),frozenset({'chocolate'}),0.12958272230369283,0.1638448206905746,0.03212904946007199,0.2479423868312757,1.5132757067708698,1.0,0.010897591559626912,1.111823302720604,0.38967733489080625,0.12295918367346938,0.10057650567943223,0.22201838625534492
frozenset({'chocolate'}),frozenset({'milk'}),0.1638448206905746,0.12958272230369283,0.03212904946007199,0.19609438567941412,1.5132757067708698,1.0,0.010897591559626912,1.0827356622355886,0.4056446619104072,0.12295918367346938,0.07641353759860398,0.22201838625534492
frozenset({'mineral water'}),frozenset({'tomatoes'}),0.23836821757099053,0.06839088121583789,0.024396747100386616,0.10234899328859061,1.4965298219448697,1.0,0.008094534646858002,1.0378299715801134,0.4356271144614096,0.08640226628895187,0.036451030145637976,0.2295370697437105
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.06839088121583789,0.23836821757099053,0.024396747100386616,0.3567251461988304,1.4965298219448695,1.0,0.008094534646858002,1.1839912254123692,0.35614449125902026,0.08640226628895187,0.15539914609442093,0.2295370697437105
frozenset({'pancakes'}),frozenset({'mineral water'}),0.09505399280095987,0.23836821757099053,0.03372883615517931,0.3548387096774194,1.4886158620191963,1.0,0.011070985318208743,1.1805292627649648,0.36271227299512515,0.11254448398576512,0.15292231074572427,0.24816879555459337
frozenset({'mineral water'}),frozenset({'pancakes'}),0.23836821757099053,0.09505399280095987,0.03372883615517931,0.14149888143176736,1.4886158620191963,1.0,0.011070985318208743,1.0540999745093707,0.43096287573795017,0.11254448398576512,0.05132338091038406,0.24816879555459337
