antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'pancakes'}),frozenset({'spaghetti'}),0.09506666666666666,0.17413333333333333,0.0252,0.2650771388499299,1.5222653456159834,1.0,0.008645724444444447,1.1237460559796437,0.37912660603098214,0.10327868852459017,0.11011923496520411,0.20489691551991135
frozenset({'chocolate'}),frozenset({'milk'}),0.16386666666666666,0.1296,0.03213333333333333,0.19609438567941417,1.5130739635757267,1.0,0.010896213333333335,1.0827141700404859,0.4055498835117326,0.1229591836734694,0.07639520413535636,0.22201838625534495
frozenset({'milk'}),frozenset({'chocolate'}),0.1296,0.16386666666666666,0.03213333333333333,0.24794238683127573,1.5130739635757267,1.0,0.010896213333333335,1.1117942544459647,0.38958384183548944,0.1229591836734694,0.1005530060970448,0.22201838625534495
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.0684,0.23826666666666665,0.0244,0.35672514619883045,1.4971676533246943,1.0,0.008102560000000002,1.184149090909091,0.3564535542588461,0.08644307982994805,0.15551174452848388,0.22956570684311978
frozenset({'mineral water'}),frozenset({'tomatoes'}),0.23826666666666665,0.0684,0.0244,0.10240626748740908,1.497167653324694,1.0,0.008102560000000002,1.0378860349127181,0.43594275925197923,0.08644307982994805,0.03650307802426908,0.22956570684311978
frozenset({'mineral water'}),frozenset({'pancakes'}),0.23826666666666665,0.09506666666666666,0.03373333333333333,0.14157806379406826,1.489250320414463,1.0,0.011082115555555556,1.0541824424163406,0.4312811291631527,0.11259457053849577,0.051397595175410635,0.2482083867357438
frozenset({'pancakes'}),frozenset({'mineral water'}),0.09506666666666666,0.23826666666666665,0.03373333333333333,0.3548387096774194,1.489250320414463,1.0,0.011082115555555556,1.1806866666666667,0.36303360702948156,0.11259457053849577,0.15303523938047353,0.2482083867357438
frozenset({'french fries'}),frozenset({'burgers'}),0.17093333333333333,0.0872,0.022,0.12870514820592824,1.4759764702514706,1.0,0.007094613333333333,1.0476361683079678,0.38897043773209744,0.09316770186335403,0.04547014483559184,0.1904993630937898
frozenset({'burgers'}),frozenset({'french fries'}),0.0872,0.17093333333333333,0.022,0.25229357798165136,1.4759764702514706,1.0,0.007094613333333333,1.1088130879345601,0.35328924654078026,0.09316770186335403,0.09813474346451999,0.1904993630937898
frozenset({'frozen vegetables'}),frozenset({'chocolate'}),0.09533333333333334,0.16386666666666666,0.022933333333333333,0.24055944055944053,1.4680193687516714,1.0,0.007311377777777777,1.1009858809085329,0.35240612842967556,0.09706546275395034,0.09172313892454217,0.1902553101902166
frozenset({'chocolate'}),frozenset({'frozen vegetables'}),0.16386666666666666,0.09533333333333334,0.022933333333333333,0.13995117982099267,1.4680193687516714,1.0,0.007311377777777777,1.0518782718385367,0.3812909554130678,0.09706546275395034,0.04931965344988136,0.1902553101902166
frozenset({'whole wheat rice'}),frozenset({'mineral water'}),0.05853333333333333,0.23826666666666665,0.020133333333333333,0.3439635535307517,1.4436075274094224,1.0,0.006186791111111112,1.1611143518518519,0.326395994789024,0.0727710843373494,0.13875838464565687,0.21423135706755828
frozenset({'mineral water'}),frozenset({'whole wheat rice'}),0.23826666666666665,0.05853333333333333,0.020133333333333333,0.08449916060436485,1.4436075274094224,1.0,0.006186791111111112,1.0283624286878565,0.40341013814200916,0.0727710843373494,0.027580187584299164,0.21423135706755828
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17413333333333333,0.23826666666666665,0.05973333333333333,0.3430321592649311,1.4396984860027886,1.0,0.018243164444444446,1.1594682206682205,0.36980560104248356,0.16937618147448014,0.1375356545574975,0.296865827813775
