Model,ARIMA_order,MAE,RMSE,MAPE,AIC
SES,,0.17763811683047734,0.20535637717674138,22.78885648150685,-62659.34210652985
ARIMA,"(2, 1, 3)",0.17781717446978423,0.20555714569787614,22.811637609115124,-45436.21807102956
Holt,,0.19027341286324018,0.2200851244999511,24.412696094114835,-62655.29006147259
HW_Add,,0.2145993786366638,0.24743026155626752,27.50493088631949,-62229.37986682216
HW_Mul,,0.2185615359857433,0.2514305129715195,27.99363614324456,-62270.21907637677
