model,accuracy,precision,recall,f1,roc_auc
XGBoost,0.8156424581005587,0.8103448275862069,0.6811594202898551,0.7401574803149606,0.841897233201581
LightGBM,0.8212290502793296,0.7846153846153846,0.7391304347826086,0.7611940298507462,0.8269433465085638
